TNA reference	Context: subseries title	Context: sub subseries title	scope_content	date_text	first_date	last_date	former_reference_department	note_text	closure_status	closure_type	closure_code	piece_id	cat_level
wo 97/1/10	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  WILLIAM ADDY   Born BEVERLY, Yorkshire  Served in 1st Life Guards; Royal Artillery  Discharged aged 33  	1841-1852	1.8410101E7	1.8521231E7			O	N	30.0	-3875557.0	7.0
wo 97/1/11	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  EDWARD AITCHIESON   Born BELFAST, Down  Served in 1st Life Guards  Discharged aged 25  	1823-1834	1.8230101E7	1.8341231E7			O	N	30.0	-3875558.0	7.0
wo 97/1/12	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  JOHN ACKROYD   Born OVENDON, Yorkshire  Served in Royal Horse Guards  Discharged aged 40  	1795-1814	1.7950101E7	1.8141231E7			O	N	30.0	-3875559.0	7.0
wo 97/1/13	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  MATTHEW AKROYD   Born HALIFAX, Yorkshire  Served in Royal Horse Guards  Discharged aged 50  	1805-1835	1.8050101E7	1.8351231E7			O	N	30.0	-3875560.0	7.0
wo 97/1/14	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  THOMAS ALDER   Born DONNINGTON, Berkshire  Served in Royal Artillery; 15th Dragoons (Light); 2nd Life Guards  Discharged aged 49  	1801-1830	1.8010101E7	1.8301231E7			O	N	30.0	-3875561.0	7.0
wo 97/1/15	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  THOMAS ALDOUS   Born MALDON, Essex  Served in 2nd Life Guards  Discharged aged 31  	1828-1842	1.8280101E7	1.8421231E7			O	N	30.0	-3875562.0	7.0
wo 97/1/16	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  OFFINGTON ALDRIDGE   Born EASTBOURN, Essex  Served in 2nd Life Guards  Discharged aged 44  	1797-1818	1.7970101E7	1.8181231E7			O	N	30.0	-3875563.0	7.0
wo 97/1/17	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  SAMUEL ALLARD   Born CRETON, Northamptonshire  Served in 1st Life Guards  Discharged aged 26  	1844-1849	1.8440101E7	1.8491231E7			O	N	30.0	-3875564.0	7.0
wo 97/1/18	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  GEORGE ALLAN   Born AXEY, Lincolnshire  Served in 1st Life Guards  Discharged aged 32  	1828-1842	1.8280101E7	1.8421231E7			O	N	30.0	-3875565.0	7.0
wo 97/1/19	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  LEONARD ALLEN   Born GRINTON, Yorkshire  Served in Royal Horse Guards  Discharged aged 44  	1799-1827	1.7990101E7	1.8271231E7			O	N	30.0	-3875566.0	7.0
wo 97/1/20	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  THOMAS ALLEN   Born SHREWSBURY, Shropshire  Served in 2nd Life Guards  Discharged aged 41  	1829-1852	1.8290101E7	1.8521231E7			O	N	30.0	-3875567.0	7.0
wo 97/1/21	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  WILLIAM ALLEN   Born STOURBRIDGE, Worcestershire  Served in 1st Life Guards  Discharged aged 49  	1788-1816	1.7880101E7	1.8161231E7			O	N	30.0	-3875568.0	7.0
wo 97/1/22	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  WILLIAM ALLEN   Born MILLWICH, Staffordshire  Served in 2nd Life Guards  Discharged aged 45  	1828-1853	1.8280101E7	1.8531231E7			O	N	30.0	-3875569.0	7.0
wo 97/1/23	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  WILLIAM ALLEN   Born SANDY, Bedfordshire  Served in 1st Life Guards  Discharged aged 18  	1831-1832	1.8310101E7	1.8321231E7			O	N	30.0	-3875570.0	7.0
wo 97/1/24	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  JAMES ALLISON   Born HELMSLEY, Yorkshire  Served in 2nd Life Guards  Discharged aged 39  	1815-1834	1.8150101E7	1.8341231E7			O	N	30.0	-3875571.0	7.0
wo 97/1/25	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  THOMAS ALLSOP   Born LEICESTER, Leicestershire  Served in Royal Horse Guards  Discharged aged 43  	1816-1840	1.8160101E7	1.8401231E7			O	N	30.0	-3875572.0	7.0
wo 97/1/26	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  WILLIAM AMOR   Born DORCHESTER, Dorset  Served in 1st Life Guards  Discharged aged 42  	1819-1844	1.8190101E7	1.8441231E7			O	N	30.0	-3875573.0	7.0
wo 97/1/27	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  ADAM ANDERSON   Born DUNGE, Berwickshire  Served in 1st Life Guards; 2nd Dragoons  Discharged aged 43  	1793-1821	1.7930101E7	1.8211231E7			O	N	30.0	-3875574.0	7.0
wo 97/1/28	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  ANDREW ANDERSON   Born FAIRLEY, Perthshire  Served in 1st Life Guards  Discharged aged 23  	1827-1832	1.8270101E7	1.8321231E7			O	N	30.0	-3875575.0	7.0
wo 97/1/29	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  EDWARD ANDERSON   Born READING, Berkshire  Served in 1st Life Guards  Discharged aged 37  	1805-1821	1.8050101E7	1.8211231E7			O	N	30.0	-3875576.0	7.0
wo 97/1/30	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  JOHN ANDERSON   Born LEDSHAM, Yorkshire  Served in 2nd Life Guards  Discharged aged 44  	1823-1847	1.8230101E7	1.8471231E7			O	N	30.0	-3875577.0	7.0
wo 97/1/31	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  ROBERT ANDERSON   Born INVERNESS, Inverness-shire  Served in Fife Fencibles; 1st Life Guards  Discharged aged 32  	1796-1814	1.7960101E7	1.8141231E7			O	N	30.0	-3875578.0	7.0
wo 97/1/32	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  JONAH ANDREWS   Born ASHTON UNDER LINE, Lancashire  Served in 1st Life Guards  Discharged aged 42  	1813-1838	1.8130101E7	1.8381231E7			O	N	30.0	-3875579.0	7.0
wo 97/1/33	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  RICHARD ANDREWS   Born CHURCH STRETTON, Shropshire  Served in Royal Horse Guards  Discharged aged 32  	1816-1829	1.8160101E7	1.8291231E7			O	N	30.0	-3875580.0	7.0
wo 97/1/34	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  THOMAS ANGRAVE   Born GILLMORTON, Leicestershire  Served in Royal Horse Guards  Discharged aged 21  	1830-1833	1.8300101E7	1.8331231E7			O	N	30.0	-3875581.0	7.0
wo 97/1/35	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  JOHN ANNISON   Born EASINGWOOD, Yorkshire  Served in 1st Life Guards  Discharged aged 30  	1810-1818	1.8100101E7	1.8181231E7			O	N	30.0	-3875582.0	7.0
wo 97/1/36	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  JAMES APPLEBY   Born FROODINGTON, Yorkshire  Served in 1st Life Guards  Discharged aged 38  	1818-1828	1.8180101E7	1.8281231E7			O	N	30.0	-3875583.0	7.0
wo 97/1/37	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  JOHN APPLEBY   Born HOUGHTON LE SPRING, Durham  Served in 2nd Life Guards  Discharged aged 22  	1843-1846	1.8430101E7	1.8461231E7			O	N	30.0	-3875584.0	7.0
wo 97/1/38	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  JOHN ARCHER   Born GT MALVERN, Worcestershire  Served in 2nd Life Guards  Discharged aged 37  	1799-1818	1.7990101E7	1.8181231E7			O	N	30.0	-3875585.0	7.0
wo 97/1/39	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  LEWIS ARGUST   Born PRANGUS, Pembroke  Served in 2nd Life Guards  Discharged aged 46  	1793-1814	1.7930101E7	1.8141231E7			O	N	30.0	-3875586.0	7.0
wo 97/1/40	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  WILLIAM ARKENS   Born DRUMLO, Cavan  Served in 2nd Life Guards  Discharged aged 36  	1811-1819	1.8110101E7	1.8191231E7			O	N	30.0	-3875587.0	7.0
wo 97/1/41	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  MARK ARMITAGE   Born BATLEY, Yorkshire  Served in Royal Horse Guards  Discharged aged 22  	1816-1818	1.8160101E7	1.8181231E7			O	N	30.0	-3875588.0	7.0
wo 97/1/42	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  WILLIAM ARMITAGE   Born WOTLEY, Yorkshire  Served in 1st Life Guards  Discharged aged 28  	1842-1851	1.8420101E7	1.8511231E7			O	N	30.0	-3875589.0	7.0
wo 97/1/43	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  MICHAEL ARMSTRONG   Born MANFIELD, Yorkshire  Served in 2nd Life Guards  Discharged aged 30  	1812-1825	1.8120101E7	1.8251231E7			O	N	30.0	-3875590.0	7.0
wo 97/1/44	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  NICHOLAS ARMSTRONG   Born ENTWISTLE, Northumberland  Served in 1st Life Guards  Discharged aged 37  	1795-1814	1.7950101E7	1.8141231E7			O	N	30.0	-3875591.0	7.0
wo 97/1/45	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  ALEXANDER ARTHUR   Born OLDCUMNOCK, Ayrshire  Served in 1st Life Guards  Discharged aged 33  	1824-1838	1.8240101E7	1.8381231E7			O	N	30.0	-3875592.0	7.0
wo 97/1/46	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  ARTHUR ASHTON   Born HOLLINGWOOD, Lancashire  Served in 1st Life Guards  Discharged aged 46  	1813-1838	1.8130101E7	1.8381231E7			O	N	30.0	-3875593.0	7.0
wo 97/1/47	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  JOHN ASHTON   Born STOCKPORT, Cheshire  Served in 1st Life Guards  Discharged aged 34  	1813-1830	1.8130101E7	1.8301231E7			O	N	30.0	-3875594.0	7.0
wo 97/1/48	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  RICHARD ASHWELL   Born DAGNALL, Bedfordshire  Served in Royal Horse Guards  Discharged aged 30  	1806-1815	1.8060101E7	1.8151231E7			O	N	30.0	-3875595.0	7.0
wo 97/1/49	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  EDWARD ASKEW   Born LUPTON, Westmorland  Served in Royal Horse Guards  Discharged aged 45  	1828-1852	1.8280101E7	1.8521231E7			O	N	30.0	-3875596.0	7.0
wo 97/1/50	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  JAMES ASLING   Born HINTHORPE, Nottinghamshire  Served in 1st Foot Guards; Royal Horse Guards  Discharged aged 42  	1825-1851	1.8250101E7	1.8511231E7			O	N	30.0	-3875597.0	7.0
wo 97/1/51	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  THOMAS ATKINS   Born GREAT HASTINGS, Leicestershire  Served in Royal Horse Guards  Discharged aged 43  	1799-1823	1.7990101E7	1.8231231E7			O	N	30.0	-3875598.0	7.0
wo 97/1/52	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  GEORGE ATKINSON   Born WILTON, Yorkshire  Served in 1st Life Guards  Discharged aged 41  	1827-1850	1.8270101E7	1.8501231E7			O	N	30.0	-3875599.0	7.0
wo 97/1/53	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  JOHN ATKINSON   Born LOUTH, Lincolnshire  Served in 1st Life Guards  Discharged aged 43  	1804-1823	1.8040101E7	1.8231231E7			O	N	30.0	-3875600.0	7.0
wo 97/1/54	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  JOSEPH ATKINSON   Born WETHERALL, Cumberland  Served in 1st Life Guards  Discharged aged 34  	1815-1827	1.8150101E7	1.8271231E7			O	N	30.0	-3875601.0	7.0
wo 97/1/55	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  RICHARD ATKINSON   Born NEWCASTLE, Northumberland  Served in Royal Horse Guards  Discharged aged 41  	1805-1827	1.8050101E7	1.8271231E7			O	N	30.0	-3875602.0	7.0
wo 97/1/56	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  WILLIAM ATKINSON   Born STAINDROP, Durham  Served in 2nd Life Guards  Discharged aged 40  	1812-1827	1.8120101E7	1.8271231E7			O	N	30.0	-3875603.0	7.0
wo 97/1/57	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  ARTHUR ATWELL   Born KILLINGDON, Oxfordshire  Served in 1st Life Guards  Discharged aged 37  	1833-1852	1.8330101E7	1.8521231E7			O	N	30.0	-3875604.0	7.0
wo 97/1/58	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  WILLIAM AUGAR   Born RUDWINTER, Essex  Served in 1st Life Guards  Discharged aged 47  	1800-1822	1.8000101E7	1.8221231E7			O	N	30.0	-3875605.0	7.0
wo 97/1/59	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  EDWARD BACKHOUSE   Born STAINTON, Westmorland  Served in Royal Horse Guards  Discharged aged 34  	1833-1847	1.8330101E7	1.8471231E7			O	N	30.0	-3875606.0	7.0
wo 97/1/60	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  CHARLES BACON   Born ARDLEIGH, Essex  Served in 2nd Life Guards  Discharged aged 31  	1835-1848	1.8350101E7	1.8481231E7			O	N	30.0	-3875607.0	7.0
wo 97/1/61	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  WILLIAM BAGGARLY   Born WHITTINGTON, Derbyshire  Served in 2nd Life Guards  Discharged aged 20  	1815-1818	1.8150101E7	1.8181231E7			O	N	30.0	-3875608.0	7.0
wo 97/1/62	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  SIMON BAGLEY   Born COLERAINE, Londonderry  Served in 25th Dragoons (Light); 1st Life Guards  Discharged aged 24  	1814-1816	1.8140101E7	1.8161231E7			O	N	30.0	-3875609.0	7.0
wo 97/1/63	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  WILLIAM BAILEY   Born BURSLEM, Staffordshire  Served in Royal Horse Guards  Discharged aged 41  	1793-1814	1.7930101E7	1.8141231E7			O	N	30.0	-3875610.0	7.0
wo 97/1/64	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  JOHN BAIN   Born TAIN, Ross and Cromarty  Served in Royal Horse Guards  Discharged aged 36  	1833-1850	1.8330101E7	1.8501231E7			O	N	30.0	-3875611.0	7.0
wo 97/1/65	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  THOMAS BAINES   Born TOPCLIFF, Yorkshire  Served in 2nd Life Guards  Discharged aged 34  	1815-1829	1.8150101E7	1.8291231E7			O	N	30.0	-3875612.0	7.0
wo 97/1/66	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  HENRY BAKER   Born STEEP, Hampshire  Served in 2nd Life Guards  Discharged aged 38  	1821-1837	1.8210101E7	1.8371231E7			O	N	30.0	-3875613.0	7.0
wo 97/1/67	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  JAMES BAKER   Born MANSETTER, Warwickshire  Served in Royal Horse Guards  Discharged aged 42  	1812-1834	1.8120101E7	1.8341231E7			O	N	30.0	-3875614.0	7.0
wo 97/1/68	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  JOHN BAKER   Born GALWAY, Galway  Served in 2nd Life Guards  Discharged aged 39  	1835-1852	1.8350101E7	1.8521231E7			O	N	30.0	-3875615.0	7.0
wo 97/1/69	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  JOSEPH IVEY BAKER   Born MINCHINHAMPTON, Gloucestershire  Served in 1st Life Guards  Discharged aged 21  	1845-1847	1.8450101E7	1.8471231E7			O	N	30.0	-3875616.0	7.0
wo 97/1/70	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  SAMUEL BAKER   Born BENACRE, Suffolk  Served in Royal Horse Guards  Discharged aged 43  	1826-1847	1.8260101E7	1.8471231E7			O	N	30.0	-3875617.0	7.0
wo 97/1/71	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  JOHN BALDWIN   Born KENSINGTON, London and Middlesex  Served in Royal Horse Guards  Discharged aged 36  	1826-1852	1.8260101E7	1.8521231E7			O	N	30.0	-3875618.0	7.0
wo 97/1/72	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  JOHN BALDWIN   Born BRADFORD, Yorkshire  Served in Royal Horse Guards  Discharged aged 42  	1805-1831	1.8050101E7	1.8311231E7			O	N	30.0	-3875619.0	7.0
wo 97/1/73	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  WILLIAM BALKWILL   Born PATRICKSTON, Devonshire  Served in 2nd Life Guards  Discharged aged 21  	1847-1847	1.8470101E7	1.8471231E7			O	N	30.0	-3875620.0	7.0
wo 97/1/74	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  GEORGE BALL   Born BURSLEM, Staffordshire  Served in 2nd Life Guards  Discharged aged 41  	1805-1828	1.8050101E7	1.8281231E7			O	N	30.0	-3875621.0	7.0
wo 97/1/75	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  SAMUEL BALL   Born STOCKPORT, Cheshire  Served in 1st Life Guards  Discharged aged 26  	1813-1822	1.8130101E7	1.8221231E7			O	N	30.0	-3875622.0	7.0
wo 97/1/76	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  THOMAS BALL   Born BAMPTON, Wiltshire  Served in Royal Horse Guards  Discharged aged 42  	1826-1849	1.8260101E7	1.8491231E7			O	N	30.0	-3875623.0	7.0
wo 97/1/77	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  EDWARD BALLARD   Born BILLGRAVE, Leicestershire  Served in Royal Horse Guards  Discharged aged 30  	1808-1820	1.8080101E7	1.8201231E7			O	N	30.0	-3875624.0	7.0
wo 97/1/78	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  JOHN BAMBER   Born CHORLEY, Lancashire  Served in 1st Life Guards  Discharged aged 42  	1829-1854	1.8290101E7	1.8541231E7			O	N	30.0	-3875625.0	7.0
wo 97/1/79	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  JAMES BAMFORD   Born MIDDLETON, Lancashire  Served in 1st Life Guards  Discharged aged 46  	1799-1818	1.7990101E7	1.8181231E7			O	N	30.0	-3875626.0	7.0
wo 97/1/80	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  JABUS BANCROFT   Born HOWARTH, Yorkshire  Served in Royal Horse Guards  Discharged aged 42  	1791-1814	1.7910101E7	1.8141231E7			O	N	30.0	-3875627.0	7.0
wo 97/1/81	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  THOMAS BANISTER   Born HANBURY, Staffordshire  Served in 2nd Life Guards  Discharged aged 25  	1824-1830	1.8240101E7	1.8301231E7			O	N	30.0	-3875628.0	7.0
wo 97/1/82	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  BENJAMIN BANNER   Born BIRMINGHAM, Warwickshire  Served in 1st Life Guards  Discharged aged 47  	1788-1814	1.7880101E7	1.8141231E7			O	N	30.0	-3875629.0	7.0
wo 97/1/83	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  WILLIAM BARBER   Born CATHERINGTON, Hampshire  Served in Royal Horse Guards  Discharged aged 42  	1812-1836	1.8120101E7	1.8361231E7			O	N	30.0	-3875630.0	7.0
wo 97/1/84	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  WILLIAM BELSON BARBER   Born BURNHAM OVERY, Norfolk  Served in Royal Horse Guards; Royal Marines  Discharged aged 35  	1827-1845	1.8270101E7	1.8451231E7			O	N	30.0	-3875631.0	7.0
wo 97/1/85	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  CHARLES BARKER   Born TODMORTON, Yorkshire  Served in 1st Life Guards  Discharged aged 38  	1807-1822	1.8070101E7	1.8221231E7			O	N	30.0	-3875632.0	7.0
wo 97/1/86	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  EDWARD BARKER   Born THRIBERG, Yorkshire  Served in Royal Horse Guards  Discharged aged 41  	1804-1827	1.8040101E7	1.8271231E7			O	N	30.0	-3875633.0	7.0
wo 97/1/87	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  JAMES BARKER   Born MORTRAM, Cheshire  Served in 1st Life Guards  Discharged aged 42  	1816-1840	1.8160101E7	1.8401231E7			O	N	30.0	-3875634.0	7.0
wo 97/1/88	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  JOHN BARKER   Born MANSFIELD, Yorkshire  Served in 1st Life Guards  Discharged aged 35  	1807-1823	1.8070101E7	1.8231231E7			O	N	30.0	-3875635.0	7.0
wo 97/1/89	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  JOHN BARKER   Born STANFIELD, Yorkshire  Served in 2nd Life Guards  Discharged aged 31  	1812-1823	1.8120101E7	1.8231231E7			O	N	30.0	-3875636.0	7.0
wo 97/1/90	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  JOHN BARKER   Born HAZELWOOD, Derbyshire  Served in Royal Horse Guards  Discharged aged 41  	1805-1827	1.8050101E7	1.8271231E7			O	N	30.0	-3875637.0	7.0
wo 97/1/91	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  WILLIAM BARKER   Born STANSFIELD, Yorkshire  Served in 15th Foot Regiment; 1st Life Guards  Discharged aged 34  	1798-1814	1.7980101E7	1.8141231E7			O	N	30.0	-3875638.0	7.0
wo 97/1/92	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  WILLIAM BARKER   Born KIRKBY, Nottinghamshire  Served in 2nd Life Guards  Discharged aged 44  	1819-1846	1.8190101E7	1.8461231E7			O	N	30.0	-3875639.0	7.0
wo 97/1/93	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  WILLIAM BARLOW   Born MIDDLETON, Lancashire  Served in Royal Horse Guards  Discharged aged 42  	1792-1814	1.7920101E7	1.8141231E7			O	N	30.0	-3875640.0	7.0
wo 97/1/94	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  JOSEPH BARNES   Born SHEPTON MALLET, Somerset  Served in 1st Life Guards  Discharged aged 31  	1834-1845	1.8340101E7	1.8451231E7			O	N	30.0	-3875641.0	7.0
wo 97/1/95	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  ROBERT BARNES   Born MORETON, Dorset  Served in Royal Horse Guards  Discharged aged 47  	1818-1847	1.8180101E7	1.8471231E7			O	N	30.0	-3875642.0	7.0
wo 97/1/96	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  JOHN BARNET   Born ALDERSHOT, Hampshire  Served in 1st Life Guards  Discharged aged 23  	1818-1821	1.8180101E7	1.8211231E7			O	N	30.0	-3875643.0	7.0
wo 97/1/97	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  THOMAS BARNFIELD   Born WICKERDINE, Shropshire  Served in Royal Horse Guards  Discharged aged 38  	1803-1823	1.8030101E7	1.8231231E7			O	N	30.0	-3875644.0	7.0
